city: Columbia Station
country: United States
description: There are two parts to this cemetery on West River Rd. A new part and an old part, in the new, pretty much any time after dark, there is a little girl that will skip to a tombstone and then stop and kneel down at it and disappear.
location: Columbia Cemetery
state: Ohio
state_abbrev: OH
longitude: -92.3375715
latitude: 38.94935540000001
city_longitude: -81.9468279
city_latitude: 41.31299720000001
audio_evidence: False
visual_evidence: False
evidence_date: 2008/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.15
time_of_day: Afternoon
apparition_type: Unknown
event_type: Unknown
witness_count: 0
