city: District of Columbia
country: United States
description: MSSD - MSSD is located in the back part of the campus of Gallaudet University on a hill facing Rhode Island Ave -- MSSD was founded in 1969 and Gallaudet was founded in 1857. The students at MSSD would feel hoof beats going through the campus possibly was the route taken during the Revolution War going towards Pennsylvania. Also, a ghost of a girl who had apparently committed suicide was seen in 1 of the girls' dorms and seeing apparitions of another girl who apparently would wander in the girls' dorm and has been seen sitting in a corner somewhere in the dorm.
location: Kendall Green
state: Washington DC
state_abbrev: DC
longitude: -76.986875
latitude: 38.912869
city_longitude: -77.0368707
city_latitude: 38.9071923
audio_evidence: False
visual_evidence: True
evidence_date: 1969/01/01
date_source: description
date_confidence: high
average_daylight_hours: 13.033333333333331
day_duration: 11h 29m
time_of_day: Afternoon
apparition_type: Ghost
event_type: War
witness_count: 1
