city: Fort Worth
country: United States
description: In the 1800's, this area of Ft. Worth was known as "Hell's Half Acre" because of its numerous saloons, brothels and gambling halls. Used to be a bathhouse in the 1800s where a man was shot in the head. His spirit roams the banquet halls and the upstairs bar.
location: Del Frisco's Steakhouse
state: Texas
state_abbrev: TX
longitude: -97.3298447
latitude: 32.7520394
city_longitude: -97.3307658
city_latitude: 32.7554883
audio_evidence: False
visual_evidence: True
evidence_date: 1849/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 12.766666666666667
day_duration: 11h 38m
time_of_day: Evening
apparition_type: Ghost
event_type: Unknown
witness_count: 0
