city: Manitou Springs
country: United States
description: Indians were pushed out of there lands and were cut off from there sacred spring. The Indians put a curse on the land. The building was made over the spring and then as soon as it opened it caught on fire killing many people. They tried to open again and flooded, also killing many. Every time they try to open it something horrible happens and many die. It is fenced off but you can see in the windows. You can see the people walk by. And you can see lights flickering.
location: Bath and Spa house
state: Colorado
state_abbrev: CO
longitude: -104.910981
latitude: 38.8585726
city_longitude: -104.9171989
city_latitude: 38.8597127
audio_evidence: False
visual_evidence: False
evidence_date: 1526/02/26
date_source: wikipedia
date_confidence: high
day_duration: 11h 28m
time_of_day: Morning
apparition_type: Unknown
event_type: Unknown
witness_count: 1
