city: Key West
country: United States
description: Fort Zachary Taylor - Is haunted by the spirit (seen by several workers and confirmed during a tour when his relatives were present and showed a picture) of a man named Wendall who died in Civil War days of Yellow Fever. Anomalies have been caught on film.
location: Monroe County
state: Florida
state_abbrev: FL
longitude: -81.7799871
latitude: 24.5550593
city_longitude: -81.7799871
city_latitude: 24.5550593
audio_evidence: False
visual_evidence: True
evidence_date: 1812/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.2
day_duration: 11h 42m
time_of_day: Morning
apparition_type: Ghost
event_type: Death
witness_count: 1
