city: Fannin County
country: United States
description: If you run around the church three times at night then the witches ghost will appear. Also a witch was burned there and on certain days you can see the fall leaves collect in a pile when there is no wind. Said to be where the witch was burned. That church was also vandalized.
location: Tiley Bend Church
state: Georgia
state_abbrev: GA
longitude: -84.2445923
latitude: 34.7989451
city_longitude: -84.2278796
city_latitude: 34.8580405
audio_evidence: False
visual_evidence: True
evidence_date: 1943/09/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 12.95
day_duration: 11h 35m
time_of_day: Afternoon
apparition_type: Ghost
event_type: Death
witness_count: 1
