city: Terre Haute
country: United States
description: A night nurse reported seeing a former deceased cancer patient walking from the hallway to her former room 540 on the West end of the 5th floor.  She was reported as a wandering patient, when staff told her that wing had just been closed.  When they investigated, the hall and room were empty, the patient disappeared.
location: Terre Haute Regional Hospital
state: Indiana
state_abbrev: IN
longitude: -87.40887339999999
latitude: 39.4196642
city_longitude: -87.41390919999999
city_latitude: 39.4667034
audio_evidence: False
visual_evidence: True
evidence_date: 1935/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 12.833333333333334
day_duration: 11h 28m
time_of_day: Afternoon
apparition_type: Unknown
event_type: Death
witness_count: 1
