city: Wichita Falls
country: United States
description: cemetery behind Lucy Park - There is also a statue that's called "Little Sister". It's a statue of a young women and it is said that she died from a fever she caught in England when she went there to purchase items for her home after her marriage. If you go there at midnight and you truly feel sorry for her the statue will cry. - June 2008 Update: Although it has long been a ghost story, Flora Kemp was never engaged, never married. She was on a vacation in Detroit, Michigan with her family when she died of typhoid fever in 1910. Even today, people visit her gravesite and put pennies at the base of the statue called, "Little Sister" which is a statue of a young girl walking down a staircase. It is said that she can sometimes be seen at night with a tear streaming down her cheek. The submitter to this update saw the tear once, and since has been back and hasn’t seen it.
location: Lucy Park
state: Texas
state_abbrev: TX
longitude: -98.5153655
latitude: 33.9173772
city_longitude: -98.4933873
city_latitude: 33.9137085
audio_evidence: False
visual_evidence: True
evidence_date: 1910/01/01
date_source: description
date_confidence: high
average_daylight_hours: 13.116666666666667
day_duration: 11h 38m
time_of_day: Afternoon
apparition_type: Ghost
event_type: Death
witness_count: 1
