city: White County
country: United States
description: People smell flowers in the church when none are present and hear strange sounds like walking in the woods surrounding the cemetery.
location: Crescent Hill Baptist Church
state: Georgia
state_abbrev: GA
longitude: -83.705761
latitude: 34.6853046
city_longitude: -83.7199136
city_latitude: 34.6567728
audio_evidence: True
visual_evidence: False
evidence_date: 1972/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 12.583333333333334
day_duration: 11h 35m
time_of_day: Unknown
apparition_type: Unknown
event_type: Unknown
witness_count: 1
