city: Fort Laramie
country: United States
description: No electricity runs into this building; however, late at night, after the staff goes home, bright lights can be seen inside the facility.
location: Old Officer's Quarters
state: Wyoming
state_abbrev: WY
longitude: -104.5560183
latitude: 42.2036873
city_longitude: -104.5560183
city_latitude: 42.2036873
audio_evidence: False
visual_evidence: True
evidence_date: 2013/08/07
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.033333333333331
time_of_day: Afternoon
apparition_type: Unknown
event_type: Unknown
witness_count: 1
