city: Clark County
country: United States
description: This was the site of a battle between the Piqua tribe and the Kentuckians. There is an old house in the park where people claim to have seen a figure appearing in the window. This window can be viewed from Highway SR4. Some witnesses have even claimed to have seen ghosts of Indians and soldiers, including George Rogers Clark and Daniel Boone.
location: George Rogers Clark Park in
state: Ohio
state_abbrev: OH
longitude: -83.9101219
latitude: 39.9088842
city_longitude: -83.67739279999999
city_latitude: 39.8912092
audio_evidence: False
visual_evidence: True
evidence_date: 2025/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.166666666666666
time_of_day: Afternoon
apparition_type: Shadow Figure
event_type: War
witness_count: 1
