city: Poplar Bluff
country: United States
description: Eye witness reports of an apparition of a beautiful girl with long brown flowing hair was walking toward them wearing a long white sleeveless wedding dress and carrying a water bucket, she is said to have looked part Indian. When she passed him she bumped him and spilt water down his leg. He turned around to ask her what she was doing out late at night but she was gone. He knew it was a ghost and hurried home to show his wife that his clothes were wet and told her not to repeat the story. It issaid it was the Spirit of Charity takeing a drink of water to the thirsty, that others had seen her with a bible.
location: Railroad Tracks
state: Missouri
state_abbrev: MO
longitude: -90.3933649
latitude: 36.7539046
city_longitude: -90.392888
city_latitude: 36.7569994
audio_evidence: False
visual_evidence: True
evidence_date: 2025/05/26
date_source: wikipedia
date_confidence: high
day_duration: 11h 29m
time_of_day: Afternoon
apparition_type: Ghost
event_type: Unknown
witness_count: 1
