city: St. Peter
country: United States
description: Most of the area around and in the state hospital has some form of haunting or another (the older buildings, the old grave yard, the underground tunnels & certain areas of the grounds) by former mistreated residence of the establishment or staff who met an untimely death there.
location: The State Hospital
state: Minnesota
state_abbrev: MN
longitude: -93.9758361
latitude: 44.3069335
city_longitude: -93.955691
city_latitude: 44.3258932
audio_evidence: False
visual_evidence: True
evidence_date: 1949/02/26
date_source: wikipedia
date_confidence: high
day_duration: 11h 20m
time_of_day: Morning
apparition_type: Mist
event_type: War
witness_count: 0
