city: Colorado City
country: United States
description: In the early 1900's this place burned down and took peoples lives mostly the workers that lived down in the basement, Now if you go at a certain time you will see the spirits of the workers.
location: Bakers Hotel
state: Texas
state_abbrev: TX
longitude: -98.1113994
latitude: 32.809529
city_longitude: -100.8645576
city_latitude: 32.3881745
audio_evidence: False
visual_evidence: True
evidence_date: 2000/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.1
day_duration: 11h 38m
time_of_day: Morning
apparition_type: Mist
event_type: Death
witness_count: 1
