city: St. Ansgar
country: United States
description: Noises running up the walls of the steps, lady calling out a name, dog would be alert during the spirit calling out the name. Bowls would be placed out on the floor in neat order, according to sizes, if certain doors were closes, running water could be heard. A lady figure was seen dressed in black with a white bonnet on her head. The spirits were not aggressive.
location: NE part of town
state: Iowa
state_abbrev: IA
longitude: -92.919183
latitude: 43.38698
city_longitude: -92.9203887
city_latitude: 43.37848109999999
audio_evidence: True
visual_evidence: True
evidence_date: 2025/05/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.25
day_duration: 11h 24m
time_of_day: Morning
apparition_type: Ghost
event_type: Unknown
witness_count: 1
