city: San Antonio
country: United States
description: doors slamming shut in bad weather, lights shutting off in meetings, kicking and screaming in between the walls of room #111.
location: Highlands High School
state: Texas
state_abbrev: TX
longitude: -98.4421705
latitude: 29.3893974
city_longitude: -98.4936282
city_latitude: 29.4241219
audio_evidence: True
visual_evidence: False
evidence_date: 1950/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 12.666666666666666
day_duration: 11h 38m
time_of_day: Morning
apparition_type: Unknown
event_type: Unknown
witness_count: 0
