city: Nebraska City
country: United States
description: There have been many restaurants and stores in this old building in historic Nebraska city in. Nobody is sure who haunts it, some say it’s the ghost of a boy who died and one of the restaurants was named after him and owned by his parents. Others say its the ghost of the woman who had a antique shop there for many years and cared dearly for the building. Anyone who spends any amount of time there has seen objects moving, strange sounds, and misplaced objects. - December 2003 update/correction: the restaurant used to be a place called Bischofs hardware. they were in business for many. many yeas. A man ran it, there was Minnie Bishof who was the bookkeeper there and she babysat. Mr Bishof ran it until he died at age 90! His brothers helped too along with his sister Minnie. They were a well respected family in town. A family renovated the building and named it Scooters after theirson who committed suicide, it was rumored boy is buried close by where my parents are buried. The boy died well before they opened up the restaurant.
location: Super China Buffet
state: Nebraska
state_abbrev: NE
longitude: -95.8594958
latitude: 40.6732088
city_longitude: -95.8593616
city_latitude: 40.6765745
audio_evidence: True
visual_evidence: True
evidence_date: 2008/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 12.5
day_duration: 11h 26m
time_of_day: Morning
apparition_type: Ghost
event_type: Death
witness_count: 1
