city: La Mirada
country: United States
description: June 2008 update: there is no longer an abandoned house some one has moved in and changed it up.
location: Bristol Drive
state: California
state_abbrev: CA
longitude: -117.9998677
latitude: 33.9187917
city_longitude: -118.0120086
city_latitude: 33.9172357
audio_evidence: False
visual_evidence: False
evidence_date: 2025/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.066666666666666
day_duration: 11h 32m
time_of_day: Unknown
apparition_type: Unknown
event_type: Unknown
witness_count: 0
