city: Honey Bee
country: United States
description: Back in the early 1950's a bride & Groom came to Cumberland Falls State Park for their honey moon but, their honey moon turned fatal soon after. They were at the falls area when they decided to tour the park. As they hiked down through the park trails, they came to one of the over looks, facing back toward the falls were the view of the falls was a perfect place for a photo shoot. After standing and waiting for that perfect last view, the Bride then stood atop of one of the pillars too have her picture taken. As the Groom started to take the picture, she screamed his name for the last time as she fell 73 feet to her death. This overlook is now what they call "Lovers Leap ". An apparition of a floating woman motioning you to come to here has been reported. A Ranger was patrolling around the park we he was heading to the Falls Area when women dressed in a wedding gown walked right out in front of him and hitting her. When he realized he hit this woman he stopped his vehicle and began to check on the women but to his surprised there was know one to be found. To this day he fills this was the bride who died on that fatal summer night.
location: Cumberland Falls State Park
state: Kentucky
state_abbrev: KY
longitude: -84.33861999999999
latitude: 36.83866
city_longitude: -84.37215959999999
city_latitude: 36.8414697
audio_evidence: False
visual_evidence: True
evidence_date: 1572/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.166666666666666
day_duration: 11h 30m
time_of_day: Morning
apparition_type: Ghost
event_type: Death
witness_count: 1
