city: St. Augustine
country: United States
description: Photos have been taken that show orbs and what looks to be a spirit in the trees.
location: Huguenat Cemetery
state: Florida
state_abbrev: FL
longitude: -81.3142396
latitude: 29.8982243
city_longitude: -81.31243409999999
city_latitude: 29.9012437
audio_evidence: False
visual_evidence: True
evidence_date: 1822/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.166666666666666
day_duration: 11h 42m
time_of_day: Unknown
apparition_type: Ghost
event_type: Unknown
witness_count: 0
