city: Hi Hat
country: United States
description: Its a spot thru the years that a lot have people have visited over the years, so it is untelling what has happened there. Anyway if you visit this cemetery late at night like 1 or 2 something will sound like it is running beside the old church banging very hard on the walls. Sometimes this unseen force that will rock your whole vehicle will slam your whole vehicle. It has a weird feeling like your being watched, and you can see things that cant be there. It’s really a creepy place.
location: Cemetery On a hill over looking the Hi Hat post office
state: Kentucky
state_abbrev: KY
longitude: -82.7303821
latitude: 37.3890219
city_longitude: -82.7290465
city_latitude: 37.3917681
audio_evidence: True
visual_evidence: True
evidence_date: 1586/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.166666666666666
day_duration: 11h 30m
time_of_day: Afternoon
apparition_type: Unknown
event_type: Unknown
witness_count: 1
