city: Sylvan Beach
country: United States
description: A long unpaved road, said to hear high pitched screaming in the distance. There is a lot of commotion when you stop in the middle of the road. Two gravestones located on a hill.
location: Sterling Road
state: New York
state_abbrev: NY
longitude: -75.7213921
latitude: 43.16336
city_longitude: -75.730463
city_latitude: 43.1964576
audio_evidence: False
visual_evidence: False
evidence_date: 2008/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.183333333333334
day_duration: 11h 25m
time_of_day: Morning
apparition_type: Mist
event_type: Unknown
witness_count: 0
