city: Lake Elsinore
country: United States
description: Formerly known as The Chimes - People have said that they have felt cold spots where the china dolls are located. The spirit of the person who drowned in the pool has been seen roaming around in the basement area. - December 2006. It's finished being restored. In certain areas it is cold and creepy. It's been transformed into a gift shop/tea house/spa.
location: The Home Interiors Of Mrs. 144
state: California
state_abbrev: CA
longitude: -117.3361331
latitude: 33.6965198
city_longitude: -117.3272615
city_latitude: 33.6680772
audio_evidence: False
visual_evidence: True
evidence_date: 2004/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.083333333333334
day_duration: 11h 32m
time_of_day: Evening
apparition_type: Ghost
event_type: Death
witness_count: 1
