city: Eagleville / Rockvale
country: United States
description: in the 1800s there was three women that was condemned has witches and buried there. u can see lights, hear voices, occasionally be touched or grabbed at and when u turn around there is nothing there. there has been reports of spirits or ghosts and hands that felt like broom straw scratching people on face and arms under the cedar tree at the main gate. there has been red balls of fire as big as soft balls seen in the center of the cemetery at the foot of cedar trees and they will go up the tree and go out. u can always go there and u will always hear voices or see lights if not more. some of the younger dyers have reported seeing full body apparitions (ghost) in the rear of the cemetery. more spirits and voices have been seen and heard during the months of spring and fall.
location: Dyer Cemetery
state: Tennessee
state_abbrev: TN
longitude: -86.56964570000001
latitude: 35.7835883
city_longitude: -86.60638879999999
city_latitude: 35.6872222
audio_evidence: True
visual_evidence: True
evidence_date: 2013/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.483333333333333
day_duration: 11h 33m
time_of_day: Afternoon
apparition_type: Ghost
event_type: Unknown
witness_count: 1
