city: West Palm Beach
country: United States
description: Strange fogs have been reported, described as looking like individual strands of something moving within the fog. Appearing and disappearing. The mist seems to form in to something, very dense. You could see it moving all different directions. Noticeable temperature change, uneasy feelings, and feelings of felt like someone was right behind you. Then it feels like whatever it this is trying to grab your arm. upon developing the film one of the pictures one witness took had an orb in it. only taken 4 pictures that night and the one picture that had an orb in it was the picture taken right by this grave. The orb is located right next to the flower arrangement.
location: Our Lady Queen of Peace Cemetery
state: Florida
state_abbrev: FL
longitude: -80.21633899999999
latitude: 26.683743
city_longitude: -80.0533746
city_latitude: 26.7153424
audio_evidence: False
visual_evidence: True
evidence_date: 2016/02/26
date_source: wikipedia
date_confidence: high
day_duration: 11h 42m
time_of_day: Afternoon
apparition_type: Mist
event_type: Death
witness_count: 1
