city: Grand Forks
country: United States
description: This building used to be a convent for nuns. It was left vacant for years and people have seen a figure of a woman in the bell tower windows. It has recently become a nursing home and the bell tower is sealed off from residents. The figure is presumably Sister Mary Murphy, who through herself from the tower in 1978.
location: St. Ann's Nursing Home
state: North Dakota
state_abbrev: ND
longitude: -97.05018400000002
latitude: 47.924731
city_longitude: -97.0328547
city_latitude: 47.9252568
audio_evidence: False
visual_evidence: True
evidence_date: 1978/01/01
date_source: description
date_confidence: high
average_daylight_hours: 13.016666666666667
day_duration: 11h 17m
time_of_day: Unknown
apparition_type: Mist
event_type: Unknown
witness_count: 1
