city: Merritt Island
country: United States
description: An old Indian is sometimes seen by the employs.
location: Old Olan Mills location
state: Florida
state_abbrev: FL
longitude: -81.30891199999999
latitude: 28.521709
city_longitude: -80.6659842
city_latitude: 28.3180688
audio_evidence: False
visual_evidence: True
evidence_date: 1526/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.216666666666669
day_duration: 11h 42m
time_of_day: Unknown
apparition_type: Unknown
event_type: Unknown
witness_count: 1
