city: Eagle Butte
country: United States
description: A girl fell off the boquni and die there in the gym. She had been haunting the gym to this very day.
location: Upper elementary school
state: South Dakota
state_abbrev: SD
longitude: -101.2370599
latitude: 44.992357
city_longitude: -101.2224805
city_latitude: 44.9886537
audio_evidence: False
visual_evidence: False
evidence_date: 2025/10/26
date_source: wikipedia
date_confidence: high
day_duration: 11h 22m
time_of_day: Morning
apparition_type: Unknown
event_type: Death
witness_count: 0
