city: Kansas City
country: United States
description: Apparitions have been reported. They both appear to be girls in long white dresses playing together. They are usually there on cloudy days and nights.
location: Elmwood Cemetery
state: Missouri
state_abbrev: MO
longitude: -94.525975
latitude: 39.096119
city_longitude: -94.5785667
city_latitude: 39.0997265
audio_evidence: False
visual_evidence: True
evidence_date: 1917/02/26
date_source: wikipedia
date_confidence: high
day_duration: 11h 29m
time_of_day: Afternoon
apparition_type: Ghost
event_type: Unknown
witness_count: 1
