city: Terre Haute
country: United States
description: apparitions are said to appear but not confirmed. Pictures produce orbs. Every night there is said to be a kid named Alex that roams around the 6th hole of the Country Club Golf Course. One night Alex was drinking with his friends and passed out and died. Now people say that every night if you go out there around 12:00 A.M. You might see Alex roaming around but you will definitely hear Alex vomiting and screaming for help. This is at the Terre Haute Country Club.
location: The Golf Course
state: Indiana
state_abbrev: IN
longitude: -87.2956215
latitude: 39.4778279
city_longitude: -87.41390919999999
city_latitude: 39.4667034
audio_evidence: False
visual_evidence: True
evidence_date: 1987/07/29
date_source: wikipedia
date_confidence: high
average_daylight_hours: 12.816666666666666
day_duration: 11h 28m
time_of_day: Morning
apparition_type: Ghost
event_type: Unknown
witness_count: 1
