city: North Branford
country: United States
description: At night you hear voices and people walking around but no one is there. Lots of orbs and in the middle of summer it gets really cold at night and names and symbols appear in the dirt.
location: Dragonback Woods
state: Connecticut
state_abbrev: CT
longitude: -72.7535707
latitude: 41.3121742
city_longitude: -72.7673198
city_latitude: 41.3275971
audio_evidence: True
visual_evidence: True
evidence_date: 1967/02/26
date_source: wikipedia
date_confidence: high
day_duration: 11h 25m
time_of_day: Afternoon
apparition_type: Unknown
event_type: Unknown
witness_count: 0
