city: Fort Wayne
country: United States
description: The bridge is just west of Van Buren St - A woman in white is often seen walking across the bridge but disappears when approched. She has been seen many times by many people and her existance has been reported on by local newspapers.
location: Main Street Bridge
state: Indiana
state_abbrev: IN
longitude: -85.1575245
latitude: 41.0786535
city_longitude: -85.1393513
city_latitude: 41.079273
audio_evidence: False
visual_evidence: True
evidence_date: 2025/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.333333333333334
day_duration: 11h 28m
time_of_day: Unknown
apparition_type: Mist
event_type: Unknown
witness_count: 1
