city: New Orleans
country: United States
description: A slave poisoned her owners wife and two children to make them sick and nurse them back to health she would not be sent to the fields. She over dosed the poison and the three were dead she confessed and was hung by a mob and there spirits are seen in various places. The judge’s wife is seen in the staircase. The children in the rooms and the front lawn seen playing. The Slave has been seen around the house and the owners claim to have picture of the slave ghost. There is also a strange hand print that appears on a mirror on the main floor, no matter how many time the glass is replaced.
location: Myrtle Inn Plantation
state: Louisiana
state_abbrev: LA
longitude: -90.0661811
latitude: 29.9450713
city_longitude: -90.0715323
city_latitude: 29.95106579999999
audio_evidence: False
visual_evidence: True
evidence_date: 1526/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.25
day_duration: 11h 38m
time_of_day: Afternoon
apparition_type: Unknown
event_type: Death
witness_count: 1
