city: South Brigantine
country: United States
description: Around 12:00 midnight a lady in white walking up the beach path and then stop turn around sit on the path and just vanish has been reported.
location: 13th Street
state: New Jersey
state_abbrev: NJ
longitude: -74.3720845
latitude: 39.402308
city_longitude: -74.3645906
city_latitude: 39.4101171
audio_evidence: False
visual_evidence: False
evidence_date: 2024/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.033333333333331
day_duration: 11h 27m
time_of_day: Afternoon
apparition_type: Unknown
event_type: Unknown
witness_count: 1
