city: Virginia Beach
country: United States
description: A ritzy hotel built in 1927 Many famous people stayed there. (Al Capone, Woodrow Wilson...etc.) Adolph Coors owner of Coors brewery jumped to his death from his hotel window in the 1929. The hotels previous owner shot himself inside the hotel. An old black gentleman in an old hotel uniform is said stand watch at the top of the sixth floor stairwell warning people of ghosts reportedly saying "you don't want to go up there, There's ghosts up there". There is also a cat, which roams the halls promoting calls to the front desk from angry guests.
location: Cavalier Hotel
state: Virginia
state_abbrev: VA
longitude: -75.98348969999999
latitude: 36.8691433
city_longitude: -75.97798499999999
city_latitude: 36.8529263
audio_evidence: False
visual_evidence: True
evidence_date: 1927/01/01
date_source: description
date_confidence: high
average_daylight_hours: 12.75
day_duration: 11h 30m
time_of_day: Evening
apparition_type: Mist
event_type: Murder
witness_count: 1
