city: St. Mary’s
country: United States
description: was an old college, St. Mary’s College, now a prison complex. there have been reports of old students walking the halls of the old dormitory, and feeling of dread in the chapel.
location: Marion adjustment center
state: Kentucky
state_abbrev: KY
longitude: -85.34413599999999
latitude: 37.570552
city_longitude: -84.3884272
city_latitude: 38.9558095
audio_evidence: False
visual_evidence: False
evidence_date: 2025/05/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.366666666666667
day_duration: 11h 30m
time_of_day: Unknown
apparition_type: Unknown
event_type: Unknown
witness_count: 1
