city: North Platte
country: United States
description: This is where they used to keep ice back when they didn't have fridges. People have said they have seen a man hanging from one of the hooks that they used to put ice on, they have also said lots of things about people walking around on the upstairs level of the ice house.- April 2007 Update - that building was torn down.
location: The Ice house
state: Nebraska
state_abbrev: NE
longitude: -100.7641678
latitude: 41.1468632
city_longitude: -100.7601454
city_latitude: 41.1402759
audio_evidence: False
visual_evidence: True
evidence_date: 2025/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 12.9
day_duration: 11h 26m
time_of_day: Morning
apparition_type: Unknown
event_type: Unknown
witness_count: 1
