city: Cave City
country: United States
description: This is a strait stretch of I-65 that runs between Cave City and Glasgow. It isn't lined with trees or anything. Several fatal car accidents have happened here. It is said that this piece of I-65 was build over an Indian burial ground, and it is thought that this is what is causing the wrecks.
location: Death Valley
state: Kentucky
state_abbrev: KY
city_longitude: -85.9569195
city_latitude: 37.1367171
audio_evidence: False
visual_evidence: False
evidence_date: 2025/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.283333333333331
day_duration: 11h 30m
time_of_day: Unknown
apparition_type: Unknown
event_type: Death
witness_count: 0
