city: St. Petersburg
country: United States
description: Reported 4 men in a vehicle where driving on a road, the driver almost hit a woman in the road, swerved and got killed, the 3 other passengers witnessed the event coming out of the wreck unscathed, the woman was never found.
location: Weeden Island
state: Florida
state_abbrev: FL
longitude: -82.60730699999999
latitude: 27.847677
city_longitude: -82.6267345
city_latitude: 27.7518284
audio_evidence: False
visual_evidence: True
evidence_date: 1990/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.033333333333331
day_duration: 11h 42m
time_of_day: Unknown
apparition_type: Mist
event_type: Murder
witness_count: 1
