city: New Orleans
country: United States
description: Apparitions of a mob beating each other up with curtain rods.
location: Bourbon Street
state: Louisiana
state_abbrev: LA
longitude: -90.065091
latitude: 29.9592479
city_longitude: -90.0715323
city_latitude: 29.95106579999999
audio_evidence: False
visual_evidence: True
evidence_date: 1917/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.133333333333333
day_duration: 11h 38m
time_of_day: Morning
apparition_type: Ghost
event_type: Unknown
witness_count: 0
