city: Fort Wayne
country: United States
description: There is a bridge near the hollow. There have been many stories like a headless horseman, boyfriend and girlfriend died when a motorcycle goes over the bridge, hangins, but here is the real story of it. a woman lived in a house up on a hill by herself. This old woman would speak to a friend about how there was kids that would break stuff on her property, sneek up to the windows and look in, and overall harass her. They would tell people she was a witch. One night in early 80's these teens set her house on fire and wouldnt let her out of it. The building stood for a while but now all that stands is the chimney. people who go there for a "spook show" are run off by the ghost of this woman because she feels like they are no better than the teens that killed her. There was no new house built on her hill. After a few years what was left of the house was caveing in and police were down investigating the area so the falling house was tore down and removed but they left the chimney. There is still a police investigation on this. The teens who did this has not been found.
location: Devils Hollow – Cedar Canyon Road
state: Indiana
state_abbrev: IN
city_longitude: -85.1393513
city_latitude: 41.079273
audio_evidence: False
visual_evidence: True
evidence_date: 2008/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.35
day_duration: 11h 28m
time_of_day: Afternoon
apparition_type: Ghost
event_type: Murder
witness_count: 0
