city: Birch Bay
country: United States
description: Restless spirit. Moves about the condo at night moving small articles from one place to another. Rustles through bags, knocks on doors, displaces small objects. Enjoys centering objects that it has moved.
location: Cabana Club Condominiums
state: Washington
state_abbrev: WA
longitude: -122.7467021
latitude: 48.9152016
city_longitude: -122.7446219
city_latitude: 48.91788830000001
audio_evidence: False
visual_evidence: True
evidence_date: 2011/02/26
date_source: wikipedia
date_confidence: high
average_daylight_hours: 13.15
day_duration: 11h 16m
time_of_day: Afternoon
apparition_type: Ghost
event_type: Unknown
witness_count: 0
